sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
MH 71,loamy sand,7,7.65,43,891,362,2070,15,1.1,1.44,148,101,2.25,10.62,10.75,14.19,48.7,26.35,0.61,8.5,3.51,
MH 72,loamy sand,8,7.8,107,853,336,1918,12,1.23,1.76,113,93,1.74,8.88,12.3,15.75,53.94,18,0.46,13.53,3.75,
CK 85,clay loam,7.5,7.6,315,1552,2203,5775,67,5.01,20.29,320,85,5.99,28.8,6.9,31.86,50.11,11.1,2.4,63.64,2.85,
CK 86,clay loam,7.5,7.7,75,1139,2032,5387,23,4.28,9.11,341,85,5.97,25.79,5.66,32.82,52.21,9.3,1.86,7.49,3.4,
CK 87,clay loam,7.6,7.7,215,1909,2085,5384,41,4.76,19.66,325,88,6.11,26.99,9.06,32.18,49.86,8.89,2.76,24.8,3.18,
CK 88,clay loam,7.2,7.65,360,1916,2298,6004,35,4.84,23.1,344,87,6.31,29.84,8.23,32.08,50.29,9.38,2.57,11.66,3.29,
CK 89,clay loam,7.8,7.7,280,2024,1988,6350,64,5.02,17.86,427,82,7.38,29.15,8.9,28.41,54.45,8.23,2.89,53.61,3.26,
CK 90,clay loam,7.7,7.65,261,2025,2326,7089,64,5.12,17.26,440,94,7.6,32.81,7.91,29.53,54.01,8.53,2.58,61.42,2.87,
CK 91,clay loam,7.7,7.7,217,1879,1855,5234,32,3.92,14.84,425,97,6.67,25.62,9.4,30.16,51.06,9.36,2.57,17.81,3.26,
CK 92,clay loam,7.9,7.7,178,1777,1862,5673,25,4.2,13.29,436,93,6.64,26.61,8.55,29.14,53.27,9.01,2.53,10.44,3.17,
CK 93,clay loam,6.7,7.55,78,1441,1631,4971,30,2.08,5.72,402,97,5.05,24.67,7.48,27.54,50.37,14.59,2,42.89,3.2,
CK 94,clay loam,7.7,7.7,59,1797,1987,4879,30,2.97,6.34,419,100,5.47,25.18,9.14,32.87,48.44,9.53,1.93,10.65,3.1,
CK 95,clay loam,7.5,7.7,91,1598,1987,4856,32,3.05,7.51,410,92,5.18,24.86,8.23,33.29,48.81,9.65,1.93,14.16,3.4,
CK 96,clay loam,7.2,7.65,277,1571,1909,5426,62,2.64,10.98,416,95,4.7,26.33,7.64,30.2,51.51,10.63,2.04,139.27,2.85,
BE 13,clay loam,6.7,7.6,231,1566,1360,4879,20,2.23,7.54,426,127,6.41,23.07,8.7,24.56,52.86,13.86,1.74,15.53,2.85,
BE 14,clay loam,6.7,7.7,229,1715,1405,4930,41,2.47,6.13,430,124,6.46,22.77,9.65,25.7,54.1,10.53,1.47,78.27,4.48,
BE 15,clay loam,7.3,7.7,195,1507,1526,4952,16,2.32,7,435,125,6.4,23.07,8.37,27.56,53.66,10.4,1.35,6.04,3,
BE 16,clay loam,7.1,7.7,159,1559,1463,5070,18,2.48,5.86,463,112,6.84,23.16,8.62,26.3,54.7,10.35,1.52,6.95,4.22,
BE 17,clay loam,7.6,7.75,87,1213,1561,4818,27,3.15,5.6,483,87,6.83,22.1,7.03,29.42,54.49,9.04,1.27,6.18,2.89,
BE 18,clay loam,7.5,7.8,121,1628,1603,4952,23,3.32,7.55,467,86,6.46,22.74,9.17,29.36,54.42,7.03,1.63,13.77,3.6,
BE 19,clay loam,7.7,7.75,172,1326,1674,4737,16,3.22,7.98,422,91,5.69,22.51,7.54,30.97,52.59,8.88,1.69,4.33,3.23,
BE 20,clay loam,7.6,7.7,205,1923,1541,4773,20,3.04,8.73,452,99,6.2,23.21,10.61,27.65,51.39,10.33,1.52,3.97,3.23,
EE 21,clay loam,8,7.75,149,1232,1621,4748,21,3.49,4.48,346,80,4.93,22.2,7.11,30.41,53.45,9,1.26,4.28,3.71,
EE 22,clay loam,8.1,7.8,114,1342,1661,4375,19,3.43,5.22,372,78,4.59,21.17,8.12,32.67,51.64,7.55,1.25,3.38,2.7,
EE 23,clay loam,7.6,7.75,120,1472,1621,5035,45,3.65,5.32,378,74,5.09,23.22,8.12,29.07,54.18,8.6,1.28,20.61,3.26,
EE 24,clay loam,8.4,7.75,63,1195,1559,8687,21,4.78,4.95,326,50,4.76,31.74,4.82,20.46,68.41,6.3,1.39,2.07,3.06,
BS 97,sandy clay loam,8.1,7.75,41,1608,1578,5268,23,3.6,4.5,307,94,6.33,23.8,8.65,27.61,55.32,8.4,1.38,4.75,2.38,
BS 98,sandy clay loam,8.1,7.8,43,1368,1429,5005,27,3.51,2.9,310,87,5.11,21.82,8.03,27.28,57.34,7.33,1.16,3.55,2.8,
BS 99,sandy clay loam,8.1,7.75,26,1618,1440,5212,23,3.77,2.45,298,88,5.63,23.1,8.97,25.96,56.39,8.65,1.16,3.67,2.68,
BS 100,sandy clay loam,8.2,7.65,22,1453,1368,5220,35,3.61,2.59,256,85,5.2,23.41,7.95,24.34,55.73,11.95,1.29,3.5,2.94,
BS 101,clay loam,8.4,7.7,18,1396,2037,12370,56,5.74,2.36,221,75,6.56,43.6,4.1,19.46,70.92,5.5,1.35,38.28,2.62,
BS 102,clay loam,8.3,7.8,23,1488,1737,7147,19,4.85,2.96,264,87,6.23,28.61,6.66,25.29,62.44,5.59,1.38,9.86,2.57,
BS 103,clay loam,8.5,7.75,34,1562,1771,9541,24,4.75,3.7,287,73,6,35.23,5.68,20.94,67.69,5.67,1.39,10.27,2.75,
BS 104,clay loam,8.2,7.7,42,1474,1812,6484,29,5.08,4.02,296,86,6.2,28.04,6.73,26.91,57.79,8.55,1.33,30.8,3.04,
EE 105,sandy clay loam,8.1,7.75,88,1052,1334,4190,16,2.85,4.4,405,99,4.86,19.38,6.95,28.67,54.04,10.31,1.07,3.26,2.77,
EE 106,sandy clay loam,7.8,7.8,100,1014,1418,4143,17,2.94,4.95,417,103,4.79,19.16,6.78,30.82,54.04,8.34,1,2.26,2.54,
EE 107,sandy clay loam,8,7.8,72,1068,1390,4138,14,2.89,4.65,414,101,4.78,19.1,7.16,30.31,54.14,8.37,1.06,2.13,2.82,
EE 108,sandy clay loam,7.9,7.7,113,1266,1363,4174,15,2.92,5.74,409,104,4.86,20.13,8.06,28.2,51.81,11.91,1.1,1.95,2.53,
JA 109,sand,8.3,7.85,150,1084,860,2813,13,4.01,17.22,110,102,2.59,13.2,10.52,27.13,53.25,9.08,0.41,3.81,3.46,
JA 110,sand,8.5,7.9,100,1053,913,6857,15,4.1,19.56,102,80,3.23,23.09,5.84,16.47,74.22,3.46,0.47,4.86,5.39,
JA 111,sand,8.2,7.9,74,741,709,2197,11,2.59,9.54,89,91,2.43,10.19,9.31,28.97,53.86,7.84,0.32,4.85,3.59,
JA 112,sand,8,7.85,145,840,699,2333,22,2.84,10.45,89,92,2.97,11.02,9.77,26.42,52.91,10.88,0.42,3.26,3.98,
JA 113,loamy sand,7,7.8,70,754,956,2427,429,3.1,2.93,98,84,1.93,12.61,7.66,31.56,48.08,12.68,0.31,3.05,7.83,
JA 114,loamy sand,7.4,7.8,49,690,854,2565,23,2.24,1.92,135,99,2.27,12.45,7.1,28.56,51.48,12.84,0.49,2,5.56,
JA 115,loamy sand,7.1,7.8,115,609,787,2258,38,2.43,1.64,115,99,1.98,11.3,6.9,29,49.93,14.15,0.4,1.25,3.32,
JA 116,loamy sand,6,7.75,162,663,842,2497,411,2.13,3.14,88,88,1.78,12.6,6.74,27.84,49.54,15.87,0.41,18.43,6.71,
JA 117,loamy sand,8.1,7.85,63,532,317,3281,28,1.26,1.03,78,92,1.69,11.4,5.98,11.58,71.91,10.52,0.29,9.47,4.96,
JA 118,loamy sand,8.1,7.85,69,614,341,3869,10,1.28,0.88,88,96,1.9,13.08,6.01,10.86,73.94,9.17,0.29,4.53,3.68,
JA 119,loamy sand,7.9,7.85,48,544,310,3158,15,1.14,0.76,82,88,1.6,11.08,6.29,11.65,71.22,10.82,0.25,4.56,2.16,
JA 120,loamy sand,8.1,7.8,62,580,337,3651,17,1.3,0.96,75,95,1.93,12.87,5.77,10.9,70.89,12.42,0.3,5.54,4.35,
KK 73,sandy loam,7.2,7.7,113,854,1139,2704,25,2.71,23.71,138,88,2.48,15,7.29,31.63,45.06,15.99,1.05,3.5,2.5,
KK 74,sandy loam,7.6,7.85,86,1029,1057,2574,25,3.12,24.56,138,87,2.57,13.35,9.87,32.96,48.17,8.98,0.99,3.49,2.7,
KK 75,sandy loam,7.6,7.8,133,1041,1182,2810,31,3.12,30.38,140,89,2.45,14.88,8.96,33.08,47.19,10.74,1.2,3.54,2.69,
KK 76,sandy loam,6.9,7.7,145,1028,996,2362,29,2.3,22.26,141,90,2.22,13.77,9.56,30.13,42.87,17.42,0.92,4.73,3.38,
KK 77,sandy loam,7.1,7.8,238,1061,777,2365,28,1.73,27.52,146,115,2.63,12.11,11.23,26.73,48.82,13.21,0.85,6.89,1.92,
KK 78,sandy loam,7.1,7.8,243,1373,1010,2942,28,2.24,31.03,167,92,3.5,14.92,11.79,28.19,49.28,10.72,1.24,7.76,3.19,
KK 79,sandy loam,7.4,7.8,128,1055,947,3031,29,1.88,16.52,154,84,2.74,14.47,9.34,27.25,52.34,11.05,0.83,2.92,2.9,
KK 80,sandy loam,6.8,7.75,207,1044,807,2283,29,1.63,23.01,152,95,2.59,12.4,10.78,27.09,45.99,16.11,0.87,5.03,2.41,
KK 81,sandy loam,8.3,7.85,206,1428,1102,3730,23,3.01,18.91,235,85,3.22,16.94,10.8,27.09,55.02,7.08,0.99,2.19,2.48,
KK 82,sandy loam,8.1,7.9,184,1280,1042,3268,20,2.87,18,227,86,3.1,14.95,10.97,29.03,54.63,5.35,0.9,2.39,2.14,
KK 83,sandy loam,8.2,7.85,217,1522,1058,3218,27,3.07,17.4,230,91,3.25,15.6,12.5,28.25,51.55,7.69,0.92,2.8,2.88,
KK 84,sandy loam,8.2,7.8,393,1809,1211,3909,27,3.19,24.38,230,100,3.25,18.73,12.37,26.92,52.15,8.53,1.1,1.56,2.49,
KS 121,sandy clay loam,7.9,7.8,70,1174,1434,3297,52,4.72,1.93,255,89,4.3,17.32,8.68,34.49,47.58,9.23,0.7,65.76,3.2,
KS 122,sandy clay loam,7.4,7.8,81,1054,1822,4192,226,4.4,1.84,279,87,4.47,21.02,6.42,36.11,49.85,7.61,0.79,306.14,3.03,
KS 123,sandy clay loam,7.5,7.8,49,992,1637,3846,119,4.49,1.38,286,80,4.44,19.3,6.58,35.32,49.79,8.28,0.74,145.59,3.07,
KS 124,sandy clay loam,7.6,7.75,49,990,1640,3758,96,4.42,1.49,290,81,4.71,19.49,6.5,35.04,48.18,10.25,0.79,137.81,3.11,
KS 125,sandy loam,7.4,7.8,60,1011,1028,2742,30,2.64,1.38,191,83,3.19,14.03,9.23,30.52,48.84,11.4,0.58,28.07,3.39,
KS 126,sandy loam,7.4,7.85,62,861,1003,2603,20,2.34,1.42,193,85,3.09,12.99,8.49,32.17,50.09,9.23,0.58,12.58,3.11,
KS 127,sandy loam,7.7,7.8,50,761,940,2517,20,2.22,1.15,197,88,3.16,12.78,7.63,30.63,49.21,12.51,0.52,10.63,3.27,
KS 128,sandy loam,7.4,7.8,52,830,932,2442,29,2.27,1.19,194,81,2.96,12.65,8.41,30.69,48.25,12.64,0.55,20.09,3.31,
KS 130,sandy clay loam,7.5,7.75,25,962,757,4307,27,2.06,1.26,283,89,3.76,17.15,7.18,18.38,62.76,11.65,1.11,11.75,5.4,
KS 131,sandy clay loam,7.4,7.8,23,908,747,4685,19,1.94,1.27,285,91,3.86,17.58,6.61,17.69,66.58,9.09,1.11,10.42,6.84,
KS 132,sandy clay loam,7.5,7.75,40,948,705,4456,22,1.79,1.28,299,90,3.94,17.29,7.02,16.98,64.41,11.56,1.02,18.79,6.44,
KS 129,sandy clay loam,7.5,7.7,23,879,753,4954,21,2.01,1.19,292,82,4.05,19.04,5.91,16.47,65.01,12.59,1.17,19.88,4.23,
TG 35,clay loam,8.1,7.75,76,1767,2389,4997,38,7.78,5.29,356,79,5.22,26.71,8.48,37.26,46.76,7.48,1.69,31,3.03,
TG 36,clay loam,8.2,7.55,58,1959,2211,4948,31,7.97,4.96,332,70,5.09,27.69,9.06,33.26,44.66,12.99,1.72,15.3,2.71,
RN 49,loam,8.1,7.8,58,1536,1755,4509,33,6.05,7.43,344,73,4.88,22.15,8.88,33,50.88,7.22,1.49,32,2.3,
RN 50,loam,7.9,7.55,39,1605,1765,4093,32,5.19,6.57,403,71,5.13,23.24,8.85,31.63,44.02,15.48,1.3,26,3.33,
RN 51,loam,8,7.75,52,1541,1653,4228,34,5.16,6.83,395,69,4.83,21.43,9.21,32.13,49.31,9.33,1.43,31.2,2.87,
RN 52,loam,7.8,7.65,49,1405,1672,4153,34,5.17,12.27,357,72,4.77,21.95,8.2,31.73,47.29,12.75,1.62,30.3,2.69,
RN 53,sandy clay loam,8.1,7.6,131,1174,1953,4882,119,7.19,2.43,348,86,5.75,25.04,6,32.48,48.72,12.77,1.26,17,2.93,
RN 54,sandy clay loam,8.1,7.75,105,1082,1951,4802,65,6.8,2.54,310,95,5.75,23.52,5.89,34.56,51.03,8.5,1.27,15,5.5,
RN 55,sandy clay loam,7.9,7.8,220,1177,1823,4462,74,5.9,3.6,325,98,5.28,21.85,6.9,34.74,51.02,7.31,1.15,20,5.4,
RN 56,sandy clay loam,8,7.6,169,1292,1851,4866,30,5.55,3.75,342,94,5.28,24.73,6.69,31.18,49.18,12.93,1.21,5.8,3.82,
TG 25,clay loam,8.7,7.8,122,1487,2031,4832,33,7.27,4.33,345,87,4.59,24.04,7.92,35.18,50.23,6.65,1.32,2.1,2.83,
TG 26,clay loam,8.5,7.8,132,1353,1932,4446,30,6.7,5.39,371,80,4.5,22.49,7.7,35.77,49.4,7.11,1.23,5.1,2.59,
TG 27,clay loam,8.5,7.8,100,1423,2059,4478,28,6.23,4.46,345,82,4.52,23.19,7.86,36.98,48.25,6.89,1.34,4.5,2.45,
TG 28,clay loam,8.5,7.75,81,1578,1879,4726,48,6.36,4.12,332,80,4.52,23.66,8.54,33.08,49.92,8.45,1.52,10.1,2.64,
TG 29,sandy clay loam,8.1,7.75,61,1501,1990,4783,66,7.41,4.91,358,79,4.74,24.17,7.96,34.3,49.46,8.27,1.64,67.8,2.88,
TG 30,sandy clay loam,8.3,7.75,118,1535,1973,4456,47,7.44,5.58,366,85,4.47,23.32,8.43,35.23,47.75,8.57,1.44,30.8,2.59,
TG 31,sandy clay loam,8.2,7.75,173,1549,2076,4449,51,6.89,7.75,400,84,4.95,23.75,8.35,36.4,46.81,8.41,1.55,11.7,3.39,
TG 32,sandy clay loam,8.3,7.7,137,1373,1824,4256,38,6.63,6.24,370,83,4.17,22.4,7.85,33.92,47.49,10.71,1.38,8.9,3.74,
TG 33,clay loam,8.3,7.8,78,1903,2161,4874,35,7.9,6.77,318,76,4.64,25.22,9.67,35.68,48.29,6.34,1.68,19,2.98,
TG 34,clay loam,8.4,7.75,71,1751,2257,4940,30,9.14,6.07,345,75,4.64,25.99,8.63,36.17,47.5,7.69,1.58,7.7,2.42,
RN 57,clay loam,8.1,7.7,160,1838,2383,5502,30,6.22,16.76,315,74,4.83,28.44,8.28,34.91,48.36,8.43,2.32,19.5,3.61,
RN 58,clay loam,8.1,7.55,48,1561,2369,5105,25,5.68,9.19,340,80,5.19,28.23,7.08,34.96,45.2,12.75,1.81,4.72,3.28,
RN 59,clay loam,8.2,7.75,97,1641,2321,5421,25,5.91,11.28,322,74,4.79,27.32,7.69,35.38,49.59,7.31,2.01,13.2,2.97,
RN 60,clay loam,8.1,7.7,82,1559,2286,5109,30,5.91,13.57,305,77,4.72,26.69,7.48,35.67,47.84,8.99,2.01,13.8,3.09,
BH 37,sandy clay loam,7.8,7.75,135,1642,1701,6524,41,5.45,6.77,246,94,4.61,27.5,7.65,25.77,59.3,7.27,1.26,59.98,2.99,
BH 38,sandy clay loam,7.7,7.8,164,1657,1607,7027,37,5.13,7.6,235,88,4.64,27.98,7.59,23.92,62.76,5.71,1.27,52.07,2.59,
BH 39,sandy clay loam,7.8,7.75,178,1716,1753,6366,42,5.89,8.94,229,99,4.99,27.41,8.02,26.63,58.04,7.29,1.37,47.32,2.82,
BH 40,sandy clay loam,7.7,7.7,154,1650,1708,5095,73,6.1,10.18,226,97,4.79,24.36,8.68,29.2,52.26,9.84,1.51,41.41,2.43,
BH 45,sandy loam,8.4,7.9,171,726,1585,2444,62,6.26,7.21,219,84,3.3,14.44,6.44,45.71,42.29,5.53,0.66,4.47,2.13,
BH 46,sandy loam,8.3,7.9,181,667,1479,2312,65,5.82,8.81,193,79,3.12,13.59,6.28,45.32,42.5,5.88,0.6,4.11,2.09,
BH 47,sandy loam,8.2,7.85,257,824,1726,2894,71,7.29,14.17,194,89,3.23,16.68,6.33,43.1,43.36,7.19,0.72,4.62,4.76,
BH 48,sandy loam,8.3,7.9,226,879,1658,2776,78,7.73,12.46,200,83,3.19,15.77,7.14,43.79,43.99,5.07,0.8,5.99,2.43,
BH 41,sandy loam,7.1,7.8,303,1316,756,3421,118,3.02,10.47,186,118,3.03,14.98,11.25,21.01,57.05,10.67,0.9,66.53,2.94,
BH 42,sandy loam,7.2,7.85,341,1441,657,3225,116,2.61,12.46,168,134,2.62,13.84,13.34,19.76,58.22,8.66,0.89,93.47,2.75,
BH 43,sandy loam,7.1,7.8,352,1755,703,3295,159,2.96,12.48,167,130,2.74,15.01,14.98,19.5,54.85,10.65,0.84,74.85,4.05,
BH 44,sandy loam,7.6,7.85,231,1097,678,2995,67,2.59,10.2,184,112,2.92,12.91,10.88,21.86,57.95,9.28,0.76,32.25,2.86,
JB 1,loamy sand,8,7.85,83,629,1347,1908,41,3.07,1.26,107,61,0.4,12.38,6.5,45.3,38.5,9.68,0.42,9.01,2.31,
JB 2,loamy sand,8.2,7.85,50,564,1466,1727,11,3.23,2.18,95,56,0.2,12.34,5.85,49.46,34.96,9.71,0.57,3.84,1.79,
JB 3,loamy sand,8.2,7.85,17,542,1431,1749,18,3,0.68,116,55,0.41,12.22,5.68,48.75,35.75,9.81,0.44,5.33,2.2,
JB 4,loamy sand,8,7.8,32,664,1515,1875,36,3.7,3.58,124,57,0.63,13.45,6.32,46.92,34.84,11.89,0.49,3.44,1.61,
JB 5,loamy sand,7,7.8,83,481,389,2406,8,0.92,1.2,116,75,0.43,9.85,6.25,16.45,61.05,16.23,0.4,2.75,2.1,
JB 6,loamy sand,7.4,7.8,8,480,407,2541,4,0.87,1.2,122,64,0.49,10.26,5.99,16.52,61.89,15.58,0.35,1.36,1.77,
JB 7,loamy sand,6.9,7.8,18,522,375,2165,4,0.8,1.2,119,65,0.29,9.24,7.23,16.9,58.55,17.3,0.31,1.56,2.27,
JB 8,loamy sand,7.2,7.8,12,474,369,2163,3,0.83,1.2,118,77,0.33,9.15,6.63,16.79,59.08,17.48,0.33,2.07,1.67,
JB 9,loamy sand,7.8,7.8,73,683,1741,1900,42,3.28,1.28,129,55,0.82,14.47,6.04,50.09,32.8,11.04,0.71,4.79,1.54,
JB 10,loamy sand,8.3,7.85,69,957,1688,2291,37,4.65,1.25,133,56,1.07,15.18,8.07,46.3,37.71,7.9,0.7,6.75,0.94,
JB 11,loamy sand,7.8,7.8,98,765,1503,1678,18,3.33,1.52,125,58,0.74,13.03,7.52,48.03,32.17,12.27,0.61,4.97,1.87,
JB 12,loamy sand,7.5,7.75,101,707,1482,1745,24,2.49,1.2,139,56,0.82,13.44,6.74,45.93,32.44,14.87,0.66,4.38,1.48,
MH 61,sandy clay loam,7.4,7.8,105,854,710,3236,6,1.34,1.2,208,83,1.63,13.74,7.96,21.52,58.86,11.64,0.66,5.03,1.44,
MH 62,sandy clay loam,7.5,7.75,120,941,736,3519,5,1.35,1.2,226,86,1.91,15.07,8,20.34,58.37,13.27,0.77,3.07,0.88,
MH 63,sandy clay loam,7.4,7.75,95,800,698,3049,9,1.24,1.2,202,80,1.46,13.55,7.56,21.45,56.22,14.75,0.77,3.5,1.1,
MH 64,sandy clay loam,7.3,7.75,109,911,725,3466,9,1.35,1.2,219,79,1.75,14.85,7.86,20.33,58.33,13.46,0.38,11.03,1.79,
MH 65,sandy loam,7.5,7.8,92,969,545,2745,13,1.27,10.52,136,86,0.77,11.97,10.37,18.96,57.3,13.36,0.48,11.2,1.34,
MH 66,sandy loam,7.2,7.75,93,1156,663,3100,18,1.46,1.62,166,97,1.2,13.99,10.59,19.73,55.37,14.29,0.56,9.61,1.65,
MH 67,sandy loam,7.5,7.8,114,1208,634,3025,15,1.52,1.06,160,98,1.13,13.35,11.59,19.78,56.63,11.98,0.62,8.11,1.24,
MH 68,sandy loam,7.2,7.75,122,1573,624,2946,22,1.52,1.51,157,99,1.41,13.98,14.42,18.59,52.67,14.3,0.68,21.58,1.64,
