sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
MH 69,loamy sand,6.8,7.8,28,856,331,2039,13,0.82,1.2,153,93,0.74,9.17,11.96,15.03,55.56,17.44,0.39,4.08,1.37,
MH 70,loamy sand,6.7,7.75,10,835,392,2588,11,0.75,1.2,167,92,0.97,11.17,9.58,14.61,57.9,17.89,0.46,3.93,1.06,
MH 71,loamy sand,6.4,7.75,23,845,325,1916,15,0.65,1.2,148,94,0.64,9.22,11.74,14.67,51.91,21.67,0.37,7.38,1.25,
MH 72,loamy sand,6.2,7.75,25,842,345,1910,25,0.8,1.2,129,89,0.51,9.29,11.61,15.47,51.38,21.52,0.36,28.76,1.64,
KK 83,sandy loam,8,7.85,135,1234,855,2726,19,2.33,14.48,222,70,1.29,13.15,12.02,27.07,51.78,9.11,0.8,7.2,2.03,
KK 84,sandy loam,8,7.8,188,1186,1013,3238,17,2.31,16.45,239,74,1.47,15.43,9.85,27.34,52.44,10.36,0.88,6.2,2.68,
KK 73,sandy loam,7.5,7.8,121,783,1019,2433,17,2.34,19.3,132,68,0.92,12.93,7.76,32.83,47.03,12.37,1.03,6.72,3.57,
KK 74,sandy loam,7.4,7.75,104,706,1069,2499,21,2.48,22.16,136,81,0.92,13.6,6.65,32.73,45.91,14.69,0.94,6.92,2.28,
KK 75,sandy loam,7.7,7.8,50,990,989,2291,18,2.36,20.31,112,69,0.98,12.71,9.98,32.4,45.03,12.58,1,5.94,2.09,
KK 76,sandy loam,7.1,7.75,87,835,925,2159,18,2.1,23.11,134,76,0.83,12.32,8.68,31.27,43.8,16.23,0.87,4.77,2.16,
KK 77,sandy loam,6.8,7.75,180,788,706,2075,14,1.34,23.7,157,117,1.23,11.13,9.06,26.4,46.56,17.95,0.72,4.23,1.59,
KK 78,sandy loam,7.3,7.7,185,1082,893,2800,19,2.62,25.06,181,81,1.63,14.5,9.56,25.64,48.24,16.54,1.01,6.38,1.2,
KK 79,sandy loam,7.2,7.8,114,967,887,2330,18,1.87,14.07,162,68,1.38,12.36,10.02,29.9,47.12,12.94,0.77,5.35,1.59,
KK 80,sandy loam,7.1,7.8,211,1273,747,2229,18,1.8,22.88,153,79,1.55,11.91,13.69,26.11,46.76,13.42,0.91,8.16,1.76,
KK 81,sandy loam,8,7.75,202,1015,1021,3433,22,2.62,19.45,230,77,1.47,16.13,8.06,26.36,53.18,12.39,1.08,3.69,0.74,
KK 82,sandy loam,7.9,7.75,180,1271,994,3144,15,2.44,17.14,233,79,1.55,15.63,10.42,26.49,50.28,12.79,1.12,5.94,2.2,
BH 37,sandy clay loam,8,7.85,105.5,1062.5,746,2719,16,2.8,8.52,114,37,2.15,23.73,11.47,26.19,57.27,5.05,1.46,32.17,3.28,
BH 38,sandy clay loam,8.1,7.8,102,1028,804,3621,20,2.82,5.87,126,35,2.19,29.04,9.07,23.07,62.34,5.5,1.52,29.69,2.74,
BH 39,sandy clay loam,7.8,7.8,97.5,908.5,714.5,2335,10.5,2.49,5.66,121,39.5,2.07,21.55,10.8,27.61,54.15,7.42,1.37,4.71,2.93,
BH 40,sandy clay loam,8,7.8,112.5,1080.5,817.5,2765,14,2.98,7.38,122,39,2.3,25,11.07,27.24,55.28,6.39,1.57,15.13,2.46,
BH 41,sandy loam,7.4,7.85,164,667.5,293.5,1374,14.5,1.09,6.12,83.5,50.5,1.3,12.22,13.99,20,56.18,9.81,0.9,6.58,2.92,
BH 42,sandy loam,7.5,7.85,154.5,651.5,309,1407.5,8.5,1.13,5.63,88.5,50,1.41,12.48,13.38,20.62,56.37,9.61,0.78,4.11,2.79,
BH 43,sandy loam,7.7,7.9,155.5,621.5,301.5,1521,8.5,1.24,6.67,101.5,51.5,1.39,12.51,12.73,20.08,60.78,6.39,1.07,4.09,3.44,
BH 44,sandy loam,7.3,7.9,187.5,742,348.5,1715.5,21,1.47,7.87,111,48,1.54,14.18,13.41,20.47,60.47,5.64,1.03,20.71,3.36,
BH 45,sandy loam,8.3,7.9,93.5,602,615.5,1216,13.5,2.7,4.2,103,29.5,1.44,13.55,11.38,37.84,44.86,5.9,0.73,3.43,2.72,
BH 46,sandy loam,8,7.9,79.5,497,617,1167,9.5,2.42,4.68,98.5,28,1.33,13.05,9.76,39.39,44.7,6.12,0.74,3.88,2.45,
BH 47,sandy loam,8.2,7.9,76.5,512,534,1062.5,9,2.27,3.12,102,30,1.29,11.87,11.05,37.47,44.73,6.73,0.73,4.28,2.69,
BH 48,sandy loam,8.1,7.95,130.5,636.5,645.5,1377,12,2.69,7.39,102,34.5,1.4,14.29,11.41,37.62,48.15,2.79,0.95,6.34,3.01,
CK 85,clay loam,7.7,7.65,123,761,986.5,2572.5,29.5,1.86,7.43,168,37,2.67,25.83,7.55,31.82,49.78,10.83,2.02,22.41,4.08,
CK 86,clay loam,7.6,7.8,74.5,692.5,993,2683.5,21.5,2.03,6.4,163.5,33,2.8,25.06,7.08,33.01,53.52,6.38,2.02,19.34,2.81,
CK 87,clay loam,7.9,7.8,79.5,743.5,966,2669,12,1.97,6.46,169,33.5,2.76,24.9,7.65,32.32,53.59,6.42,2.16,8.17,2.55,
CK 88,clay loam,7.6,7.8,112.5,768,1129,2899.5,25,1.97,7.42,183.5,36,2.83,27.47,7.16,34.24,52.76,5.82,2.27,29.86,2.91,
CK 89,clay loam,7.9,7.5,102.5,907,953.5,3042,11,2.09,7.44,240,42,3.58,29.48,7.88,26.95,51.59,13.56,2.35,8.23,3.18,
CK 90,clay loam,7.7,7.8,109.5,890.5,937,3034,18,2.2,8.27,211,39.5,3.32,26.86,8.5,29.06,56.47,5.95,2.48,21.09,4.03,
CK 91,clay loam,7.9,7.8,133.5,882,947.5,3140.5,11.5,2.16,10.06,229.5,41,3.69,27.45,8.23,28.75,57.18,5.82,2.28,8.91,4.48,
CK 92,clay loam,7.5,7.75,90.5,818.5,893.5,2931,15.5,1.96,8.1,238.5,37.5,3.3,26.19,8.01,28.41,55.93,7.63,2.14,12.43,3.91,
CK 93,clay loam,6.8,7.75,53.5,784.5,752.5,2324.5,30,0.91,3.28,190,37.5,2.16,21.9,9.18,28.62,53.05,9.13,1.66,24.15,3.76,
CK 94,clay loam,7,7.7,13.5,760.5,877.5,2426.5,13.5,1.07,2.75,209,42,2.5,23.79,8.19,30.73,50.98,10.08,1.53,7.39,3.42,
CK 95,clay loam,7.1,7.7,67,699,843,2607.5,14.5,1.15,4.3,206,37,2.33,24.25,7.38,28.96,53.75,9.89,1.79,11.91,3.76,
CK 96,clay loam,7.6,7.8,24,658,856.5,2459.5,11,1.17,3.3,208.5,37,2.38,22.72,7.42,31.41,54.12,7.04,1.71,7.66,3.44,
TG 25,clay loam,8.6,7.8,97,887,1992,3903,19,4.36,4.13,316,77,3.72,20.79,5.46,39.91,46.92,7.69,1.15,3.69,2.41,
TG 26,clay loam,8.3,7.8,164,1102,1988,4108,23,6.62,4.93,339,72,3.72,21.56,6.55,38.4,47.62,7.41,1.2,2.35,1.75,
TG 27,clay loam,8.3,7.75,104,960,2019,3907,23,4.81,4.27,316,73,3.58,21.41,5.74,39.29,45.61,9.34,1.29,2.38,2.1,
TG 28,clay loam,8.3,7.75,141,1037,2114,4252,23,5.46,6.2,299,63,3.47,22.76,5.83,38.68,46.68,8.78,1.52,4.81,2.27,
TG 29,sandy clay loam,8.6,7.8,57,1462,1900,4489,31,6.69,4.37,340,68,3.98,22.61,8.28,35,49.62,7.07,1.53,11.26,1.81,
TG 30,sandy clay loam,8.5,7.8,114,1463,2021,4443,24,7.34,5.14,370,84,4.14,23,8.15,36.6,48.28,6.95,1.38,8.41,1.47,
TG 31,sandy clay loam,8.3,7.75,160,1319,2027,4234,27,5.75,6.33,405,82,4.5,22.72,7.44,37.17,46.58,8.8,1.47,8.18,2.25,
TG 32,sandy clay loam,8.3,7.75,126,1279,1747,4028,23,5.59,5.84,359,75,3.59,20.98,7.81,34.68,47.97,9.52,1.42,4.58,1.99,
TG 33,clay loam,8.6,7.8,68,1713,2113,4718,29,7.81,5.96,316,71,4,24.39,9,36.08,48.34,6.55,1.45,9.85,2.1,
TG 34,clay loam,8.6,7.75,67,1791,2123,4928,55,8.86,4.3,343,75,4.2,25.46,9.01,34.74,48.38,7.85,1.51,10.75,1.72,
TG 35,clay loam,8.7,7.75,68,1719,2136,4899,35,7.82,3.77,342,78,4.21,25.35,8.69,35.1,48.31,7.88,1.31,7.62,1.63,
TG 36,clay loam,8.5,7.75,58,1629,2167,4841,32,8.04,4.57,313,71,4.37,25.22,8.28,35.8,47.98,7.93,1.45,7.56,1.73,
RN 49,loam,8.5,7.85,65,1345,1713,4276,23,6.34,6.6,340,70,3.98,20.75,8.3,34.39,51.51,5.78,1.27,8.25,2.07,
RN 50,loam,8.3,7.8,38,1280,1711,4160,19,5.21,6.39,376,66,3.89,20.77,7.9,34.32,50.07,7.7,1.27,3.73,1.86,
RN 51,loam,8.4,7.8,61,1562,1602,4120,17,5.14,7.4,383,68,3.93,20.57,9.73,32.43,50.05,7.77,1.34,5.88,1.5,
RN 52,loam,8.2,7.75,45,1297,1724,4113,18,4.87,13.73,365,65,3.8,21.12,7.86,33.99,48.66,9.46,1.53,6.98,1.81,
RN 53,sandy clay loam,8.3,7.8,172,1179,2026,5119,79,7.33,2.51,364,84,5.23,24.35,6.2,34.66,52.55,6.57,1.1,4.98,1.81,
RN 54,sandy clay loam,8.1,7.7,144,1069,1913,4648,17,6.15,2.42,319,89,4.76,23.36,5.86,34.11,49.74,10.27,1.14,3.19,1.81,
RN 55,sandy clay loam,8.1,7.75,161,1109,1915,4570,119,5.96,1.76,335,84,4.35,22.82,6.22,34.95,50.05,8.76,1.09,8.9,2.18,
RN 56,sandy clay loam,8,7.65,199,1190,1825,4656,14,5.38,2.4,340,88,4.62,23.56,6.47,32.26,49.38,11.87,1.15,5.11,2.12,
RN 57,clay loam,8.4,7.8,105,1777,2246,5226,31,6.16,10.22,321,72,4.15,26.3,8.66,35.58,49.67,6.08,1.91,5.3,1.76,
RN 58,clay loam,7.8,7.65,25,1595,2135,4380,24,4.55,5.18,299,69,3.86,24.69,8.28,36.02,44.34,11.34,1.68,9.6,2.47,
RN 59,clay loam,8.3,7.7,95,1501,2169,4983,29,5.86,9.99,311,67,4.1,25.81,7.45,35,48.24,9.29,1.81,10.94,1.36,
RN 60,clay loam,7.7,7.75,35,1481,2070,4847,24,5.56,5.72,304,67,4.12,24.64,7.7,35,49.17,8.11,1.66,5.52,1.5,
BE 13,clay loam,7.1,7.7,163,1550,1340,4509,19,2.23,4.66,429,102,4.89,21.24,9.35,26.28,53.06,11.29,1.65,6.68,2.32,
BE 14,clay loam,6.7,7.65,205,1614,1396,4855,34,2.44,4.99,386,106,5,22.82,9.06,25.48,53.18,12.26,1.63,45.1,2.14,
BE 15,clay loam,7.1,7.65,216,1702,1479,5039,27,2.47,6.59,409,117,4.87,23.74,9.19,25.95,53.05,11.79,1.77,14.09,2.1,
BE 16,clay loam,7.4,7.75,128,1686,1539,5488,21,2.61,4.55,448,93,5.89,24.29,8.89,26.39,56.47,8.23,1.7,6.99,1.92,
BE 17,clay loam,8,7.8,89,1365,1608,4955,20,3.4,7.93,469,73,5.73,22.43,7.79,29.86,55.2,7.13,1.57,7.1,1.52,
BE 18,clay loam,7.2,7.75,97,1207,1588,4428,19,3.14,6.13,399,67,4.46,21.23,7.28,31.16,52.13,9.41,1.86,7.79,2.17,
BE 19,clay loam,8,7.75,136,1436,1652,4745,18,2.82,6.51,424,78,5.26,22.58,8.15,30.47,52.51,8.85,1.66,5.13,1.57,
BE 20,clay loam,7.6,7.75,149,1455,1540,4668,23,2.96,8,433,83,5.86,21.95,8.49,29.23,53.16,9.11,1.78,4.21,1.74,
EE 21,clay loam,8.2,7.8,142,1259,1668,4903,21,3.58,4.83,356,65,4.4,22.42,7.19,30.99,54.66,7.13,1.48,2.97,1.74,
EE 22,clay loam,7.4,7.7,139,1369,1392,4700,19,2.74,4.24,374,65,4.05,21.7,8.08,26.72,54.13,11.05,1.55,3.07,1.72,
EE 23,clay loam,8.5,7.75,103,1220,1609,5080,23,3.97,4.6,346,56,4.35,22.96,6.8,29.18,55.29,8.7,1.46,4.38,1.62,
EE 24,clay loam,8.6,7.8,110,1242,1447,9006,25,5.27,5.75,318,45,4.52,31.73,5.01,18.99,70.94,5.04,1.45,3.49,1.58,
JA 109,sand,8.6,7.95,153,1345,818,2841,24,3.96,16.11,103,86,2.33,12.63,13.64,26.97,56.21,3.16,0.6,4.81,1.38,
JA 110,sand,8.5,7.85,80,877,856,6187,21,4.16,18.99,98,68,2.74,21.35,5.26,16.69,72.41,5.61,0.51,2.61,1.19,
JA 111,sand,8.4,7.9,48,733,650,2046,16,2.61,9.17,86,72,2.05,9.56,9.82,28.32,53.48,8.36,0.41,2.68,1.22,
JA 112,sand,8.2,7.9,100,726,595,1836,17,1.93,6.96,77,73,2.34,8.79,10.57,28.17,52.15,9.09,0.44,2.57,1.42,
JA 113,loamy sand,8.1,7.9,26,561,758,1842,20,2.88,2.46,95,65,1.67,9.28,7.74,34.02,49.6,8.61,0.37,2.32,1.66,
JA 114,loamy sand,7.8,7.8,42,757,836,2598,59,2.64,1.58,122,61,1.93,12.54,7.73,27.75,51.75,12.75,0.53,2.75,1.53,
JA 115,loamy sand,8.2,7.85,18,565,797,2140,19,3.13,1.26,113,64,1.76,10.59,6.83,31.34,50.49,11.32,0.45,1.72,1.79,
JA 116,loamy sand,8.5,7.95,40,686,732,1966,68,3.94,2.56,93,65,1.81,9.24,9.51,32.99,53.16,4.32,0.44,4.11,1.6,
JA 117,loamy sand,8.4,7.9,51,502,283,3639,11,1.41,0.79,85,71,1.67,11.72,5.49,10.06,77.62,6.82,0.39,1.64,1.34,
JA 118,loamy sand,8,7.85,64,454,270,2839,17,1.33,0.71,73,73,1.39,10,5.81,11.24,70.94,11.99,0.38,7.49,1.95,
JA 119,loamy sand,7.5,7.85,99,518,321,3107,37,1.47,1.04,83,83,1.57,10.96,6.05,12.19,70.81,10.93,0.36,38.56,2.62,
JA 120,loamy sand,8.1,7.85,57,558,321,3362,16,1.7,1.08,82,71,1.67,11.65,6.13,11.47,72.09,10.29,0.48,5.01,1.4,
EE 105,sandy clay loam,8.2,7.8,102,1074,1360,4409,15,3.16,5.16,426,87,4.56,19.66,7,28.81,56.04,8.13,1.31,2.48,1.56,
EE 106,sandy clay loam,8,7.75,80,1047,1367,4149,16,2.91,5.14,403,84,4.48,19.41,6.91,29.34,53.43,10.3,1.26,2.4,1.72,
EE 107,sandy clay loam,7.8,7.75,89,1205,1163,3813,17,2.51,4.39,401,84,4.37,17.92,8.61,27.03,53.18,11.15,1.29,2.98,1.63,
EE 108,sandy clay loam,7.5,7.8,119,1289,1199,4081,18,2.69,5.52,404,85,4.17,18.45,8.95,27.07,55.29,8.67,1.39,3.46,1.56,
KS 121,sandy clay loam,8.3,7.85,61,946,1457,3291,45,4.44,1.56,284,74,4.56,16.71,7.25,36.32,49.23,7.18,0.86,6.83,1.44,
KS 122,sandy clay loam,8.2,7.8,63,940,1417,3619,39,4.55,1.53,303,75,4.71,17.75,6.78,33.25,50.95,9.01,0.96,3.69,1.42,
KS 123,sandy clay loam,8.5,7.85,48,966,1528,3352,22,4.54,1.68,270,79,4.21,17.18,7.2,37.04,48.76,6.98,1.1,1.56,1.68,
KS 124,sandy clay loam,8.3,7.85,48,834,1854,3486,27,4.85,1.64,310,77,5.09,18.7,5.71,41.28,46.58,6.41,0.78,1.08,1.39,
KS 125,sandy loam,7.7,7.85,36,565,920,2405,14,2.53,1.03,171,69,3,11.77,6.15,32.56,51.08,10.19,0.65,7.74,2.05,
KS 126,sandy loam,7.4,7.8,39,673,1001,2757,18,2.39,1.09,203,72,3.24,13.52,6.37,30.83,50.95,11.82,0.75,15.55,1.64,
KS 127,sandy loam,7.8,7.85,47,637,805,2349,13,2.02,1.06,185,82,2.92,11.24,7.26,29.83,52.23,10.67,0.67,7.68,1.67,
KS 128,sandy loam,7.6,7.85,48,642,932,2425,13,2.47,1.51,195,79,3,11.96,6.87,32.44,50.65,10.02,0.59,4.18,1.52,
KS 129,sandy clay loam,7.3,7.75,15,807,709,4860,20,2,1.19,283,70,3.77,18.13,5.7,16.28,66.98,11.02,1.22,12.03,1.52,
KS 130,sandy clay loam,7.1,7.75,21,937,750,4363,22,1.99,1.4,286,86,3.72,17.23,6.97,18.13,63.29,11.6,1.18,8.98,2.06,
KS 131,sandy clay loam,7.4,7.7,22,791,670,4278,17,1.87,1.11,280,81,3.65,16.9,6,16.51,63.28,14.2,1.12,3.04,1.68,
KS 132,sandy clay loam,7.4,7.8,38,886,693,4592,22,1.92,1.59,297,86,3.89,17.1,6.64,16.88,67.12,9.35,1.18,11.64,1.74,
BS 97,sandy clay loam,8.2,7.8,20,1596,1402,5240,36,3.29,2.22,300,76,4.85,22.58,9.05,25.86,57.99,7.08,1.47,3.61,1.52,
BS 98,sandy clay loam,8.2,7.75,26,1426,1331,5766,35,3.85,2.52,318,74,5.63,23.78,7.68,23.31,60.59,8.4,1.38,3.87,1.68,
BS 99,sandy clay loam,8.4,7.75,20,1357,1260,5214,35,3.57,2.25,257,77,4.74,22.02,7.89,23.83,59.18,9.08,1.49,4.8,2,
BS 100,sandy clay loam,8.1,7.8,22,1232,1235,5191,61,3.38,2.74,240,70,4.54,21.3,7.41,24.15,60.91,7.51,1.49,11.47,1.45,
BS 101,clay loam,8.5,7.8,12,1182,1791,10234,43,5.09,2.6,224,77,5.93,36.16,4.19,20.63,70.74,4.42,1.75,10.96,1.49,
BS 102,clay loam,8.4,7.7,19,1420,1746,7020,48,4.82,2.7,256,81,5.99,29.04,6.26,25.04,60.42,8.26,1.68,25.64,1.69,
BS 103,clay loam,8.5,7.75,29,1164,1406,9730,42,3.89,10.59,270,60,5.3,33.67,4.43,17.39,72.23,5.93,1.55,7.57,1.61,
BS 104,clay loam,7.9,7.75,32,1329,1684,6335,49,4.51,4.86,287,74,5.8,26.55,6.41,26.42,59.63,7.53,1.74,51.94,1.45,
BH 37,sandy clay loam,8.7,7.85,125,1431,1039,7523,24,4.42,8.6,122,72,2.26,26.17,7.01,16.54,71.86,4.58,0.78,10.32,0.95,
BH 38,sandy clay loam,8.6,7.85,182,1355,917,9123,27,3.95,7.53,126,59,2.52,29.56,5.87,12.92,77.14,4.05,0.76,10.34,1.51,
BH 39,sandy clay loam,8.3,7.85,142,1515,1005,3657,24,4.05,9.49,153,78,2.87,16.47,11.79,25.42,55.5,7.28,0.87,20.9,1.21,
BH 41,sandy loam,8,7.9,244,1448,742,3342,31,4,11.71,153,96,2.24,14.1,13.16,21.92,59.24,5.67,0.9,13.94,1.13,
BH 42,sandy loam,8.2,7.85,247,1167,652,3149,21,2.67,13.64,197,113,2.77,13.28,11.26,20.44,59.25,9.03,0.82,7.25,1.47,
BH 43,sandy loam,8,7.9,308,1791,640,3174,36,3.76,15.41,190,103,2.51,13.69,16.76,19.46,57.92,5.84,0.84,20.4,0.82,
BH 45,sandy loam,8.7,7.9,200,1189,1172,2596,24,4.92,11.93,188,82,3.48,13.69,11.12,35.65,47.38,5.84,0.74,7.89,1.54,
BH 46,sandy loam,8,7.9,167,869,1176,2328,18,4.14,10.9,182,84,2.89,12.63,8.81,38.78,46.06,6.33,0.59,5.04,1.29,
BH 47,sandy loam,8.5,7.85,224,1148,1471,2700,34,6.66,12.53,205,79,3.3,15.55,9.46,39.41,43.4,7.71,0.78,18.16,1.26,
JA 109,sand,9,7.9,40,677,607,7937,17,2.28,14.03,73,58,2.17,24.03,3.61,10.52,82.54,3.32,0.43,5.09,0.83,
JA 110,sand,8.5,7.9,96,1062,783,5236,25,4.28,13.48,104,75,2.49,18.51,7.35,17.62,70.7,4.32,0.6,6.67,1.17,
JA 111,sand,8.8,7.9,81,1080,730,2149,16,2.65,6.61,101,87,2.38,10.59,13.06,28.69,50.68,7.54,0.53,5.4,1.85,
JA 113,loamy sand,8.1,7.9,39,1142,721,1863,13,2.87,3.34,109,76,2.04,9.92,14.75,30.26,46.92,8.05,0.39,2.61,1.37,
JA 114,loamy sand,8.6,7.85,70,1039,662,2310,15,2.49,2.68,110,77,1.96,11.06,12.03,24.92,52.18,10.84,0.47,2.77,1.25,
JA 115,loamy sand,8.4,7.85,42,1233,823,2904,14,3.48,3.26,130,74,2.46,13.46,11.73,25.45,53.89,8.9,0.57,3.74,1.41,
JA 117,loamy sand,9.1,7.9,41,385,217,8495,13,0.77,6.43,65,51,1.47,23.43,2.1,3.85,90.62,3.41,0.32,2.19,1.69,
JA 118,loamy sand,8.1,7.9,32,381,226,7751,14,0.69,0.59,75,52,1.6,21.6,2.26,4.35,89.67,3.7,0.35,1.85,1.74,
JA 119,loamy sand,8.3,7.85,44,452,253,5964,11,0.9,1.12,104,77,2.14,17.74,3.26,5.94,84.03,6.76,0.41,2.27,1.29,
